down_buy_val,down_buy_int,down_sell_val,down_sell_int,up_buy_val,up_buy_int,up_sell_val,up_sell_int,total_return,annualized_return,sharpe_ratio,sortino_ratio,max_drawdown,fitness
27.37993794602593,5,85.95426749159415,12,12.812375835208798,8,83.6844820598019,7,-0.16452930715395797,-0.008958345956610825,0.14261384189297077,0.10875400551708012,-0.8148032034646034,-0.010994490348736083
25.66723793571639,6,61.04290268033246,11,13.143131268675885,5,79.64357720285145,18,1.791255376188495,0.052728900953932456,0.333815361485982,0.2400566539298378,-0.7710882675183831,0.06838244488355592
12.715421771424385,13,88.33006598372393,5,31.558257849541853,10,84.43487882458794,15,76.96724928133015,0.24367916467713147,0.7688329025857902,0.9514759538866274,-0.5870041121115068,0.41512343721170114
14.725496958507465,11,93.50245752723734,15,8.577359678194705,17,63.38507318917124,16,4.010248366218056,0.08401344977509173,0.4620547084041482,0.30861514180978805,-0.4535890985307406,0.1852192877810047
26.130411097841186,6,85.54061253428362,8,39.05905173927797,17,62.758006932746035,14,3.652274197364963,0.07999825684537587,0.406351106867928,0.35946277005996136,-0.7413242708084038,0.10791263687905278
34.02916324885482,16,80.20732508398667,7,6.603853427948177,12,87.05739192760421,7,-0.22399864061578878,-0.012614919978691352,0.12535423066865928,0.08549447366498124,-0.7547660036343334,-0.016713683337548663
34.93612023553014,8,73.30441787637082,19,27.248955549254006,16,65.69289340046296,16,-0.2823632114522523,-0.016472183340500157,0.10411648496671731,0.07033322471295203,-0.8023086554869192,-0.020530980474719206
12.332746077002069,13,84.56371097104929,7,26.319585198344587,10,78.69489569603978,12,69.17628684626993,0.2371419755530948,0.7984333652304494,0.862003607788652,-0.5487306792813014,0.4321646018839167
10.719087281667495,17,69.44817393744972,12,28.96149878464561,6,68.01668251874365,6,6.105234692185125,0.10313755782697442,0.4909865532681531,0.4317600359580009,-0.7042943707887489,0.1464409799434706
33.1766030269925,17,69.3709306591496,11,36.959764346494076,15,67.44192904189492,20,18.299305105814312,0.15972146408022603,0.606980220184111,0.5531218972773417,-0.7672794738587676,0.20816595454712478
