kernel_size,hidden_channels,learning_rate,batch_size,avg_loss
5,16,0.001,32,0.41107752112446316
5,32,0.001,32,0.4121943274690847
5,32,0.001,64,0.4419597757013538
5,16,0.001,64,0.4550996309594263
5,8,0.001,32,0.46148994071468424
5,32,0.0005,32,0.469560409712184
5,16,0.0005,32,0.4714752582797579
5,16,0.0005,64,0.4927700622172295
5,32,0.0005,64,0.5042556818527512
5,8,0.0005,64,0.5057489790871174
5,8,0.001,64,0.5074122072775152
5,8,0.0005,32,0.5186282738948323
3,32,0.001,32,0.5442561072528742
3,16,0.001,32,0.5612110582886228
3,32,0.001,64,0.5761454675016524
3,16,0.001,64,0.5791510019121291
3,16,0.0005,32,0.5812776792960562
3,32,0.0005,32,0.5816477303671989
3,8,0.001,32,0.5818502265176956
3,8,0.0005,32,0.5879665956755352
3,8,0.001,64,0.5954633796516853
3,32,0.0005,64,0.596612239940257
3,16,0.0005,64,0.6108702130710022
2,16,0.001,32,0.627261587958427
2,32,0.001,32,0.6299629725848034
3,8,0.0005,64,0.6387841052646879
2,32,0.001,64,0.6565021174617961
2,16,0.001,64,0.6624837566780138
2,8,0.001,64,0.6632785691490656
2,16,0.0005,64,0.6633813803709006
2,32,0.0005,32,0.6636709536716436
2,8,0.001,32,0.6638987085242181
2,32,0.0005,64,0.666009292195115
2,8,0.0005,32,0.6680835643012053
2,16,0.0005,32,0.6726852309931616
2,8,0.0005,64,0.6897347931620441
